Model,Index,Election_Year,Pre_Start,Post_End,Predicted,Actual,Abnormal,t_stat,p_value,Significant_@5%
GARCH,GVZ,2012,2012-08-06,2013-01-06,3.7691,5.9699,2.2008,527.1,0.0,True
GARCH,GVZ,2016,2016-08-08,2017-01-08,4.3925,8.6509,4.2584,3315759.9667,0.0,True
GARCH,GVZ,2020,2020-08-03,2021-01-03,3.2477,3.6836,0.4359,149.0875,0.0,True
GARCH,GVZ,2024,2024-08-05,2025-01-05,1.6861,3.5648,1.8786,695.5066,0.0,True
GARCH,OVX,2012,2012-08-06,2013-01-06,3.308,2.3918,-0.9162,-1852.38,0.0,True
GARCH,OVX,2016,2016-08-08,2017-01-08,4.2541,6.5866,2.3326,752.6,0.0,True
GARCH,OVX,2020,2020-08-03,2021-01-03,7.9928,3.9906,-4.0022,-1628.3207,0.0,True
GARCH,OVX,2024,2024-08-05,2025-01-05,7.0177,6.3438,-0.6739,-67.5125,0.0,True
GARCH,TLT_IV30,2004,2004-08-02,2005-01-02,10.9103,4.7873,-6.123,-195.9522,0.0,True
GARCH,TLT_IV30,2008,2008-08-04,2009-01-04,11.3773,7.7256,-3.6518,-853.2052,0.0,True
GARCH,TLT_IV30,2012,2012-08-06,2013-01-06,3.6383,3.1631,-0.4752,-190.515,0.0,True
GARCH,TLT_IV30,2016,2016-08-08,2017-01-08,3.8929,5.1381,1.2452,1564.757,0.0,True
GARCH,TLT_IV30,2020,2020-08-03,2021-01-03,6.1097,4.1056,-2.0041,-380.4546,0.0,True
GARCH,TLT_IV30,2024,2024-08-05,2025-01-05,4.0176,4.3515,0.3339,2493778612.7722,0.0,True
GARCH,VIX,2000,2000-08-07,2001-01-07,6.0798,5.2682,-0.8116,-87.8752,0.0,True
GARCH,VIX,2004,2004-08-02,2005-01-02,5.5723,5.2534,-0.3189,-183.1694,0.0,True
GARCH,VIX,2008,2008-08-04,2009-01-04,9.9819,5.9806,-4.0013,-266.1015,0.0,True
GARCH,VIX,2012,2012-08-06,2013-01-06,5.2788,5.8143,0.5355,99.2724,0.0,True
GARCH,VIX,2016,2016-08-08,2017-01-08,6.2012,4.6372,-1.564,-381.5921,0.0,True
GARCH,VIX,2020,2020-08-03,2021-01-03,5.7471,5.2295,-0.5177,-114.9583,0.0,True
GARCH,VIX,2024,2024-08-05,2025-01-05,5.5671,8.362,2.7949,1267.1214,0.0,True
GARCH,VXEEM,2012,2012-08-06,2013-01-06,4.2528,3.4925,-0.7604,-323.8401,0.0,True
GARCH,VXEEM,2016,2016-08-08,2017-01-08,4.8023,4.708,-0.0943,-22.6111,0.0,True
GARCH,VXEEM,2020,2020-08-03,2021-01-03,10.0583,8.5602,-1.498,-144.356,0.0,True
GARCH,VXEEM,2024,2024-08-05,2025-01-05,4.829,4.2919,-0.5371,-14.9565,0.0,True
GARCH,VXN,2012,2012-08-06,2013-01-06,4.2069,4.6234,0.4165,6043.0331,0.0,True
GARCH,VXN,2016,2016-08-08,2017-01-08,5.0229,4.0944,-0.9285,-5686.2944,0.0,True
GARCH,VXN,2020,2020-08-03,2021-01-03,3.4606,3.134,-0.3266,-368.2509,0.0,True
GARCH,VXN,2024,2024-08-05,2025-01-05,4.1956,6.3064,2.1109,451.599,0.0,True
ARIMA,GVZ,2012,2012-08-06,2013-01-06,16.7683,14.0327,-2.7356,-18.5849,0.0,True
ARIMA,GVZ,2016,2016-08-08,2017-01-08,16.3578,17.121,0.7632,3.2489,0.0024,True
ARIMA,GVZ,2020,2020-08-03,2021-01-03,23.188,19.524,-3.664,-24.0209,0.0,True
ARIMA,GVZ,2024,2024-08-05,2025-01-05,18.5994,16.2165,-2.3829,-16.5169,0.0,True
ARIMA,OVX,2012,2012-08-06,2013-01-06,32.6897,29.385,-3.3047,-12.5113,0.0,True
ARIMA,OVX,2016,2016-08-08,2017-01-08,40.3968,38.148,-2.2488,-1.864,0.0699,False
ARIMA,OVX,2020,2020-08-03,2021-01-03,54.7819,43.5305,-11.2514,-34.5412,0.0,True
ARIMA,OVX,2024,2024-08-05,2025-01-05,42.3807,33.7698,-8.6109,-17.7506,0.0,True
ARIMA,TLT_IV30,2004,2004-08-02,2005-01-02,10.0484,9.953,-0.0954,-0.9951,0.3257,False
ARIMA,TLT_IV30,2008,2008-08-04,2009-01-04,16.0971,28.926,12.8289,12.8549,0.0,True
ARIMA,TLT_IV30,2012,2012-08-06,2013-01-06,15.6383,13.0765,-2.5618,-28.4751,0.0,True
ARIMA,TLT_IV30,2016,2016-08-08,2017-01-08,12.6184,14.9049,2.2865,13.0703,0.0,True
ARIMA,TLT_IV30,2020,2020-08-03,2021-01-03,16.9026,12.583,-4.3196,-18.2916,0.0,True
ARIMA,TLT_IV30,2024,2024-08-05,2025-01-05,18.5889,13.9388,-4.6501,-23.1312,0.0,True
ARIMA,VIX,2000,2000-08-07,2001-01-07,22.747,26.9439,4.1969,13.1696,0.0,True
ARIMA,VIX,2004,2004-08-02,2005-01-02,15.6225,12.8202,-2.8023,-26.3463,0.0,True
ARIMA,VIX,2008,2008-08-04,2009-01-04,51.0291,57.1728,6.1437,4.8088,0.0,True
ARIMA,VIX,2012,2012-08-06,2013-01-06,16.3832,16.8142,0.431,1.6972,0.0976,False
ARIMA,VIX,2016,2016-08-08,2017-01-08,16.3161,12.9066,-3.4095,-25.4829,0.0,True
ARIMA,VIX,2020,2020-08-03,2021-01-03,33.713,23.2011,-10.5119,-34.2448,0.0,True
ARIMA,VIX,2024,2024-08-05,2025-01-05,23.416,15.6641,-7.752,-23.2793,0.0,True
ARIMA,VXEEM,2012,2012-08-06,2013-01-06,23.1433,21.8201,-1.3232,-6.3008,0.0,True
ARIMA,VXEEM,2016,2016-08-08,2017-01-08,23.3632,21.5582,-1.805,-6.7696,0.0,True
ARIMA,VXEEM,2020,2020-08-03,2021-01-03,27.3776,24.1156,-3.2619,-9.0352,0.0,True
ARIMA,VXEEM,2024,2024-08-05,2025-01-05,23.1091,18.5036,-4.6055,-26.5101,0.0,True
ARIMA,VXN,2012,2012-08-06,2013-01-06,18.0875,18.6562,0.5688,2.02,0.0503,False
ARIMA,VXN,2016,2016-08-08,2017-01-08,18.775,15.4308,-3.3442,-18.0235,0.0,True
ARIMA,VXN,2020,2020-08-03,2021-01-03,38.1088,28.3373,-9.7715,-39.3328,0.0,True
ARIMA,VXN,2024,2024-08-05,2025-01-05,24.6812,18.5264,-6.1547,-17.6449,0.0,True
